Encounter,Array_name,distance_behind_boat,Hyph_1,Hyph_2,Hyph_3,Hyph_4,Hyph_5,Hyph_6
Lasker_AC67,SugarGli_20m_Echidna,335.1,0.32,1.3,2.3,23.89,24.91,25.91
Lasker_AC109,SugarGli_20m_Echidna,335.1,0.32,1.3,2.3,23.89,24.91,25.91
Lasker_AC150,Numbat_20m_Echidna,335.1,0.72,1.7,2.7,24.29,25.31,26.31
Lasker_AC191,Numbat_20m_Gonna,335.1,0.72,1.7,2.7,29.87,30.83,31.82
Lasker_AC276,Numbat_20m_Gonna,335.1,0.72,1.7,2.7,29.87,30.83,31.82
Lasker_AC279,Numbat_20m_Gonna,335.1,0.72,1.7,2.7,29.87,30.83,31.82
Sette_AC7,Iiwi_30m_Pueo,347.5,0.57,1.55,2.55,38.87,39.83,40.83
Sette_AC44,Iiwi_30m_Pueo,347.5,0.57,1.55,2.55,38.87,39.83,40.83
Sette_AC81,Kolea_30m_Pueo,347.5,0.83,1.81,2.81,39.37,40.33,41.33
Sette_AC91,Kolea_30m_Pueo,347.5,0.83,1.81,2.81,39.37,40.33,41.33
Sette_AC101,Kolea_30m_Pueo,347.5,0.83,1.81,2.81,39.37,40.33,41.33
Sette_AC256,Moli,347.5,10.16,11.12,12.12,-999,-999,-999
Sette_AC257,Kolea_30m_Moli,347.5,0.83,1.81,2.81,43.69,44.65,45.65
Sette_AC258,Kolea_30m_Moli,347.5,0.83,1.81,2.81,43.69,44.65,45.65
Sette_AC281,Kolea_30m_Moli,347.5,0.83,1.81,2.81,43.69,44.65,45.65
Sette_AC298,Kolea_30m_Pueo,347.5,0.83,1.81,2.81,39.37,40.33,41.33
Sette_AC338,Kolea_30m_Moli,347.5,0.83,1.81,2.81,43.69,44.65,45.65
Sette_AC340,Kolea_30m_Moli,347.5,0.83,1.81,2.81,43.69,44.65,45.65
